4.347113824305187109e+02;3.860000000000000000e+02
2.264054793392499960e+03;4.200000000000000000e+01
4.093398204354481095e+03;3.500000000000000000e+01
5.922741615316462230e+03;5.400000000000000000e+01
7.752085026278443365e+03;7.000000000000000000e+01
9.581428437240423591e+03;8.000000000000000000e+01
1.141077184820240473e+04;7.400000000000000000e+01
1.324011525916438586e+04;7.600000000000000000e+01
1.506945867012636700e+04;9.800000000000000000e+01
1.689880208108834995e+04;1.310000000000000000e+02
1.872814549205033109e+04;1.110000000000000000e+02
2.055748890301231222e+04;1.270000000000000000e+02
2.238683231397429336e+04;1.330000000000000000e+02
2.421617572493627449e+04;1.930000000000000000e+02
2.604551913589825563e+04;1.950000000000000000e+02
2.787486254686023676e+04;1.890000000000000000e+02
2.970420595782221790e+04;2.200000000000000000e+02
3.153354936878419903e+04;2.380000000000000000e+02
3.336289277974618017e+04;2.770000000000000000e+02
3.519223619070815766e+04;3.180000000000000000e+02
3.702157960167014244e+04;3.680000000000000000e+02
3.885092301263212721e+04;4.150000000000000000e+02
4.068026642359410471e+04;4.280000000000000000e+02
4.250960983455608221e+04;5.090000000000000000e+02
4.433895324551806698e+04;5.890000000000000000e+02
4.616829665648005175e+04;5.990000000000000000e+02
4.799764006744202925e+04;7.400000000000000000e+02
4.982698347840400675e+04;8.200000000000000000e+02
5.165632688936599152e+04;8.200000000000000000e+02
5.348567030032797629e+04;9.200000000000000000e+02
5.531501371128995379e+04;1.103000000000000000e+03
5.714435712225193129e+04;1.232000000000000000e+03
5.897370053321391606e+04;1.304000000000000000e+03
6.080304394417590083e+04;1.551000000000000000e+03
6.263238735513787833e+04;1.598000000000000000e+03
6.446173076609985583e+04;1.902000000000000000e+03
6.629107417706183332e+04;1.987000000000000000e+03
6.812041758802381810e+04;2.172000000000000000e+03
6.994976099898578832e+04;2.502000000000000000e+03
7.177910440994777309e+04;2.751000000000000000e+03
7.360844782090975787e+04;2.982000000000000000e+03
7.543779123187174264e+04;3.319000000000000000e+03
